City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,greenville,35.6127,-77.3663,46.13,96,0,0.0,US,1699924093
343,kavaratti,10.5669,72.642,81.25,71,44,3.2,IN,1699924287
344,smithers,54.7804,-127.1743,33.82,83,85,3.06,CA,1699924288
345,portland,45.5234,-122.6762,52.03,85,0,1.01,US,1699923970
346,keflavik,64.0049,-22.5624,45.03,65,0,21.85,IS,1699924276
347,turkmenbasy,40.0222,52.9552,60.57,71,0,4.23,TM,1699924288
348,dossor,47.5272,52.9811,44.22,57,26,11.59,KZ,1699924289
349,grand-bassam,5.2118,-3.7388,78.76,87,0,5.41,CI,1699924289
350,cape canaveral,28.4058,-80.6048,75.07,92,75,8.05,US,1699924026
351,drayton valley,53.2168,-114.9854,31.12,68,99,7.87,CA,1699924290
352,kapuskasing,49.4169,-82.4331,33.08,98,100,8.14,CA,1699924229
353,preobrazheniye,42.9019,133.9064,33.62,48,0,8.19,RU,1699924290
354,ivdel',60.6911,60.4206,35.19,81,100,4.0,RU,1699924291
355,aral,40.5156,81.2636,39.2,39,0,7.23,CN,1699924291
356,sheregesh,52.9209,87.9869,32.95,98,100,7.29,RU,1699924291
357,arraial do cabo,-22.9661,-42.0278,74.7,90,59,7.31,BR,1699924028
358,oak hill,37.9723,-81.1487,50.41,72,13,3.83,US,1699924127
359,basoko,1.2391,23.616,71.85,97,100,3.53,CD,1699923804
